;X;Views;Amount;Title;Location;Transaction;Department;Date;weekday
1;1;23 views;6;"
                    
                      I Paid Rs. 6000 to Municipal Services in Dharmapuri.
                    
                  ";"Dharmapuri
                      , Tamil Nadu";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
2;2;42 views;100;"
                    
                      I Paid Rs. 100 to Others in Jhunjhunun.
                    
                  ";"Jhunjhunun
                      , Rajasthan";"
                      Others
                    ";"
                      Others
                    ";3-11-2015;Tues
3;3;40 views;10;"
                    
                      I Paid Rs. 10 to Others in Achhnera.
                    
                  ";"Achhnera
                      , Uttar Pradesh";"
                      Others
                    ";"
                      Others
                    ";3-11-2015;Tues
4;4;49 views;1,358;"
                    
                      I Paid Rs. 1358 to  in .
                    
                  ";"
                      , ";"
                      
                    ";"
                      
                    ";3-11-2015;Tues
5;5;54 views;500;"
                    
                      I Paid Rs. 500 to Municipal Services in Nellore.
                    
                  ";"Nellore
                      , Andhra Pradesh";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
6;6;52 views;788;"
                    
                      I Paid Rs. 788 to Municipal Services in Abohar.
                    
                  ";"Abohar
                      , Punjab";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
7;7;62 views;25;"
                    
                      LAKSHMINARAYAN THE MOST CORRUPT IN KARNATAKA STATE POLLUTION CONTROL BOARD
                    
                  ";"Bangalore
                      , Karnataka";"
                      Others
                    ";"
                      Others
                    ";3-11-2015;Tues
8;8;68 views;20;"
                    
                      Paid Bribe to Get Degree
                    
                  ";"New Delhi
                      , Delhi";"
                      School or College Related Activities
                    ";"
                      Education
                    ";3-11-2015;Tues
9;9;55 views;20;"
                    
                      I Paid Rs. 20 to Municipal Services in Abhayapuri.
                    
                  ";"Abhayapuri
                      , Assam";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
10;10;67 views;15;"
                    
                      I Paid Rs. 15000 to Stamps and Registration in Nagpur.
                    
                  ";"Nagpur
                      , Maharashtra";"
                      Marriage Certificate
                    ";"
                      Stamps and Registration
                    ";3-11-2015;Tues
11;11;57 views;111;"
                    
                      I Paid Rs. 111 to Municipal Services in Solapur.
                    
                  ";"Solapur
                      , Maharashtra";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
12;12;45 views;344;"
                    
                      I Paid Rs. 344 to Municipal Services in Almora.
                    
                  ";"Almora
                      , Uttarakhand";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
13;13;43 views;3,7;"
                    
                      Paid Bribe for Borewell drilling in Bangalore
                    
                  ";"Bangalore
                      , Karnataka";"
                      Water Connection under Sajala
                    ";"
                      Water and Sewage
                    ";3-11-2015;Tues
14;14;43 views;111;"
                    
                      I Paid Rs. 111 to Municipal Services in Abohar.
                    
                  ";"Abohar
                      , Punjab";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
15;15;41 views;NA;"
                    
                      I Paid Rs. 1 to Municipal Services in Mumbai.
                    
                  ";"Mumbai
                      , Maharashtra";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
16;16;52 views;5;"
                    
                      I Paid Rs. 5000 to Police in Thane.
                    
                  ";"Thane
                      , Maharashtra";"
                      Filing FIR
                    ";"
                      Police
                    ";3-11-2015;Tues
17;17;42 views;500;"
                    
                      I Paid Rs. 500 to Municipal Services in Lucknow.
                    
                  ";"Lucknow
                      , Uttar Pradesh";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
18;18;46 views;100;"
                    
                      I Paid Rs. 100 to Municipal Services in Mumbai.
                    
                  ";"Mumbai
                      , Maharashtra";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";3-11-2015;Tues
19;19;60 views;1;"
                    
                      I Paid Rs. 1000 to Police in Hazaribagh.
                    
                  ";"Hazaribagh
                      , Jharkhand";"
                      Traffic Violations
                    ";"
                      Police
                    ";3-11-2015;Tues
20;20;74 views;50;"
                    
                      I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.
                    
                  ";"Abohar
                      , Punjab";"
                      Issue of Ration Card
                    ";"
                      Food, Civil Supplies and Consumer Affairs
                    ";3-11-2015;Tues
21;21;111 views;5,00,000;"
                    
                      I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.
                    
                  ";"Kolkata
                      , West Bengal";"
                      C Form
                    ";"
                      Commercial Tax, Sales Tax, VAT
                    ";3-11-2015;Tues
22;22;140 views;200;"
                    
                      Bribe for passport verification
                    
                  ";"Bangalore
                      , Karnataka";"
                      Police Verification for Passport
                    ";"
                      Police
                    ";2-11-2015;Mon
23;23;148 views;NA;"
                    
                      I Paid Rs. 2 to Police in Adari.
                    
                  ";"Adari
                      , Uttar Pradesh";"
                      Filing FIR
                    ";"
                      Police
                    ";2-11-2015;Mon
24;24;170 views;10;"
                    
                      I Paid Rs. 10000 to Railways in Chandigarh.
                    
                  ";"Chandigarh
                      , Chandigarh";"
                      Transport of Goods
                    ";"
                      Railways
                    ";2-11-2015;Mon
25;25;175 views;600;"
                    
                      Asked bribe at the heart of Delhi by traffic police
                    
                  ";"New Delhi
                      , Delhi";"
                      Traffic Violations
                    ";"
                      Police
                    ";2-11-2015;Mon
26;26;156 views;100;"
                    
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.
                    
                  ";"Durgapur
                      , West Bengal";"
                      C Form
                    ";"
                      Commercial Tax, Sales Tax, VAT
                    ";2-11-2015;Mon
27;27;153 views;20;"
                    
                      I Paid Rs. 20 to Others in Pune.
                    
                  ";"Pune
                      , Maharashtra";"
                      Others
                    ";"
                      Others
                    ";2-11-2015;Mon
28;28;150 views;1,2;"
                    
                      I Paid Rs. 1200 to Others in Mumbai.
                    
                  ";"Mumbai
                      , Maharashtra";"
                      Others
                    ";"
                      Others
                    ";2-11-2015;Mon
29;29;137 views;100;"
                    
                      I Paid Rs. 100 to Municipal Services in Itanagar.
                    
                  ";"Itanagar
                      , Arunachal Pradesh";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";2-11-2015;Mon
30;30;141 views;4,64,001;"
                    
                      I Paid Rs. 464001 to Municipal Services in Vidisha.
                    
                  ";"Vidisha
                      , Madhya Pradesh";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";2-11-2015;Mon
31;31;183 views;1,20,200;"
                    
                      I Paid Rs. 120200 to Transport in Alipurduar.
                    
                  ";"Alipurduar
                      , West Bengal";"
                      Registration of Vehicle
                    ";"
                      Transport
                    ";2-11-2015;Mon
32;32;194 views;1,2;"
                    
                      I Paid Rs. 1200 to Municipal Services in Kochi.
                    
                  ";"Kochi
                      , Kerala";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";2-11-2015;Mon
33;33;188 views;10;"
                    
                      I Paid Rs. 10000 to Police in Mahesana.
                    
                  ";"Mahesana
                      , Gujarat";"
                      Traffic Violations
                    ";"
                      Police
                    ";2-11-2015;Mon
34;34;188 views;200;"
                    
                      I Paid Rs. 200 to Income Tax in Pune.
                    
                  ";"Pune
                      , Maharashtra";"
                      New PAN Card
                    ";"
                      Income Tax
                    ";2-11-2015;Mon
35;35;210 views;20;"
                    
                      I Paid Rs. 20000 to Others in Hyderabad.
                    
                  ";"Hyderabad
                      , Telangana";"
                      Others
                    ";"
                      Others
                    ";2-11-2015;Mon
36;36;238 views;500;"
                    
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.
                    
                  ";"Kolkata
                      , West Bengal";"
                      Issue of Ration Card
                    ";"
                      Food, Civil Supplies and Consumer Affairs
                    ";2-11-2015;Mon
37;37;228 views;111;"
                    
                      I Paid Rs. 111 to Municipal Services in Chennai.
                    
                  ";"Chennai
                      , Tamil Nadu";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";1-11-2015;Sun
38;38;194 views;200;"
                    
                      I Paid Rs. 200 to Municipal Services in Adilabad.
                    
                  ";"Adilabad
                      , Telangana";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";1-11-2015;Sun
39;39;200 views;2;"
                    
                      I Paid Rs. 2000 to Income Tax in Abohar.
                    
                  ";"Abohar
                      , Punjab";"
                      New PAN Card
                    ";"
                      Income Tax
                    ";1-11-2015;Sun
40;40;176 views;100;"
                    
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.
                    
                  ";"Abohar
                      , Punjab";"
                      Customs Check and Clearance
                    ";"
                      Customs, Excise and Service Tax
                    ";1-11-2015;Sun
41;41;166 views;345;"
                    
                      I Paid Rs. 345 to Municipal Services in Abhayapuri.
                    
                  ";"Abhayapuri
                      , Assam";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";1-11-2015;Sun
42;42;156 views;33;"
                    
                      I Paid Rs. 33 to Municipal Services in Achhnera.
                    
                  ";"Achhnera
                      , Uttar Pradesh";"
                      Birth Certificate
                    ";"
                      Municipal Services
                    ";1-11-2015;Sun
